TIMESTAMP,TEMPERATURE,HUMIDITY,ISRAINING
150,07012019 0600,22.709066,94.98931,1
151,07012019 0700,23.119066,94.65465,1
152,07012019 0800,23.559065,93.86673,1
153,07012019 0900,24.969067,86.82354,1
154,07012019 1000,25.249065,86.79442,1
155,07012019 1100,25.309065,85.6498,1
156,07012019 1200,26.609066,82.07822,1
157,07012019 1300,26.319065,83.74905,1
158,07012019 1400,26.959066,84.36972,0
159,07012019 1500,26.649065,84.39009,0
160,07012019 1600,26.429066,85.957504,0
161,07012019 1700,24.699066,90.12911,0
162,07012019 1800,23.469067,96.05412,0
163,07012019 1900,23.599066,94.95696,0
164,07012019 2000,23.619066,93.584236,1
165,07012019 2100,23.119066,94.94327,1
166,07012019 2200,22.859066,94.64656,0
167,07012019 2300,22.089066,94.331955,0
168,08012019 0000,21.969067,95.55229,0
169,08012019 0100,22.359066,94.572754,1
170,08012019 0200,22.309065,94.6291,1
171,08012019 0300,22.069065,95.965775,0
172,08012019 0400,22.359066,96.030945,1
173,08012019 0500,22.279066,97.56744,1
174,08012019 0600,22.509066,97.154205,1
175,08012019 0700,22.479065,98.705376,1
176,08012019 0800,22.789066,99.24646,1
177,08012019 0900,26.079065,81.07793,1
178,08012019 1000,25.719067,84.09405,1
179,08012019 1100,25.689066,85.99583,1
180,08012019 1200,26.729065,81.05731,1
181,08012019 1300,26.839066,80.53349,0
182,08012019 1400,26.309065,83.24374,0
183,08012019 1500,26.269066,83.74393,0
184,08012019 1600,25.959066,84.884636,0
185,08012019 1700,25.349066,86.90793,0
186,08012019 1800,24.419065,93.55785,0
187,08012019 1900,25.119066,89.07238,0
188,08012019 2000,25.019066,89.3353,0
189,08012019 2100,24.559065,93.00019,0
190,08012019 2200,24.249065,94.40333,0
191,08012019 2300,24.339066,94.97743,1
192,09012019 0000,24.169065,93.888596,1
193,09012019 0100,24.539066,90.72191,1
194,09012019 0200,24.399065,91.48672,0
195,09012019 0300,23.399065,96.28602,0
196,09012019 0400,23.509066,98.111404,0
197,09012019 0500,23.539066,96.34693,0
198,09012019 0600,23.359066,97.28262,1
199,09012019 0700,23.129066,98.70587,1
200,09012019 0800,23.099066,100.02923,1
201,09012019 0900,25.879066,85.80516,0
202,09012019 1000,25.479065,89.204414,1
203,09012019 1100,25.929066,87.060585,0
204,09012019 1200,26.579065,86.022316,0
205,09012019 1300,27.289066,85.061,0
206,09012019 1400,26.659065,86.44316,0
207,09012019 1500,26.689066,87.59255,0
208,09012019 1600,26.539066,86.74478,0
209,09012019 1700,24.989065,92.01518,0
210,09012019 1800,24.459066,96.885666,0
211,09012019 1900,24.069065,97.17297,0
212,09012019 2000,24.219067,96.126816,0
213,09012019 2100,24.269066,96.76667,0
214,09012019 2200,23.679066,95.247375,0
215,09012019 2300,23.979065,94.96759,0
216,10012019 0000,23.229065,96.63417,1
217,10012019 0100,23.379066,96.22726,0
218,10012019 0200,23.509066,94.2078,1
219,10012019 0300,23.339066,95.47015,0
220,10012019 0400,23.219067,93.68292,1
221,10012019 0500,22.589066,100.03405,1
222,10012019 0600,22.549067,98.7655,1
223,10012019 0700,22.639067,99.54884,1
224,10012019 0800,22.459066,99.85296,0
225,10012019 0900,24.249065,89.55525,1
226,10012019 1000,24.769066,85.652336,1
227,10012019 1100,24.659065,85.22545,1
228,10012019 1200,26.569065,77.33854,1
229,10012019 1300,27.089066,77.50584,0
230,10012019 1400,26.989065,76.60317,0
231,10012019 1500,26.429066,79.80266,0
232,10012019 1600,26.299067,82.341606,0
233,10012019 1700,24.749065,88.56233,0
234,10012019 1800,24.019066,93.940094,0
235,10012019 1900,23.829065,94.1044,0
236,10012019 2000,24.899065,90.633,0
237,10012019 2100,24.699066,93.17436,0
238,10012019 2200,23.199066,96.75106,0
239,10012019 2300,22.519066,97.03591,0
240,11012019 0000,21.979065,98.40344,0
241,11012019 0100,22.209066,97.32854,0
242,11012019 0200,22.229065,96.67657,0
243,11012019 0300,21.809065,97.502785,0
244,11012019 0400,21.799067,97.62224,0
245,11012019 0500,21.789066,99.49235,0
246,11012019 0600,22.349066,98.28493,0
247,11012019 0700,22.819065,96.392395,0
248,11012019 0800,23.459066,92.61476,0
249,11012019 0900,26.429066,79.41602,0
250,11012019 1000,26.439066,80.630936,1
251,11012019 1100,26.479065,79.42251,1
252,11012019 1200,27.559065,72.2121,1
253,11012019 1300,27.809065,71.46697,1
254,11012019 1400,27.719067,73.83739,0
255,11012019 1500,27.149065,81.49882,0
256,11012019 1600,26.289066,85.68688,0
257,11012019 1700,24.599066,90.61556,0
258,11012019 1800,24.449066,93.276955,0
259,11012019 1900,23.759066,95.65394,0
260,11012019 2000,25.119066,91.35877,0
261,11012019 2100,25.039066,93.01987,0
262,11012019 2200,24.679066,94.53046,0
263,11012019 2300,24.079065,94.455055,1
264,12012019 0000,23.429066,96.28657,0
265,12012019 0100,23.469067,95.99592,1
266,12012019 0200,23.389067,95.471375,0
267,12012019 0300,22.969067,96.39514,1
268,12012019 0400,23.259066,92.54916,1
269,12012019 0500,22.989065,89.8006,1
270,12012019 0600,23.349066,90.099464,1
271,12012019 0700,23.249065,89.87273,0
272,12012019 0800,23.599066,90.72231,0
273,12012019 0900,25.759066,80.35138,1
274,12012019 1000,25.849066,80.36257,0
275,12012019 1100,25.709066,79.8079,1
276,12012019 1200,26.469067,76.43392,1
277,12012019 1300,26.639067,76.50551,0
278,12012019 1400,26.509066,77.8969,0
279,12012019 1500,26.129066,80.83812,0
280,12012019 1600,26.219067,81.34096,0
281,12012019 1700,25.179066,88.9152,0
282,12012019 1800,24.209066,95.37598,0
283,12012019 1900,25.279066,91.31221,0
284,12012019 2000,25.419065,91.70453,0
285,12012019 2100,25.659065,93.88358,0
286,12012019 2200,24.469067,94.467155,0
287,12012019 2300,24.489065,95.03876,0
288,13012019 0000,23.369066,96.343864,0
289,13012019 0100,22.609066,95.51009,0
290,13012019 0200,22.329065,95.85422,0
291,13012019 0300,22.159065,96.793724,0
292,13012019 0400,22.329065,96.796455,0
293,13012019 0500,22.749065,97.3941,0
294,13012019 0600,22.719067,96.21446,0
295,13012019 0700,22.389067,95.27106,0
296,13012019 0800,22.839066,95.51587,0
297,13012019 0900,25.499065,84.48097,1
298,13012019 1000,26.359066,81.5054,1
299,13012019 1100,26.149065,82.32484,1
300,13012019 1200,27.469067,76.48729,1
301,13012019 1300,26.579065,79.628395,1
302,13012019 1400,27.509066,77.23703,1
303,13012019 1500,27.049067,79.92938,1
304,13012019 1600,26.849066,80.92486,0
305,13012019 1700,24.959066,86.61207,0
306,13012019 1800,24.079065,91.9151,0
307,13012019 1900,23.809065,92.29351,0
308,13012019 2000,24.259066,89.067055,0
309,13012019 2100,24.809065,87.8177,0
310,13012019 2200,24.419065,89.18649,0
311,13012019 2300,24.039066,90.14291,0
312,14012019 0000,22.689066,92.4659,0
313,14012019 0100,22.459066,92.96699,0
314,14012019 0200,22.219067,93.35705,0
315,14012019 0300,22.239065,94.97553,0
316,14012019 0400,22.349066,94.51449,0
317,14012019 0500,21.749065,96.31281,0
318,14012019 0600,21.479065,95.89326,0
319,14012019 0700,21.349066,94.77294,0
320,14012019 0800,21.989065,97.325905,0
321,14012019 0900,26.019066,80.87392,0
322,14012019 1000,26.659065,77.58684,0
323,14012019 1100,26.449066,76.80483,0
324,14012019 1200,27.499065,74.5232,0
325,14012019 1300,27.309065,77.25552,0
326,14012019 1400,27.539066,76.82211,0
327,14012019 1500,26.889067,79.71616,1
328,14012019 1600,26.599066,82.027504,1
329,14012019 1700,24.959066,86.8227,1
330,14012019 1800,24.659065,88.555824,0
331,14012019 1900,24.499065,91.32594,1
332,14012019 2000,24.379066,92.26442,0
333,14012019 2100,24.599066,89.741394,0
334,14012019 2200,24.389067,86.51029,1
335,14012019 2300,23.929066,87.05418,0
336,15012019 0000,23.029066,91.91821,1
337,15012019 0100,22.919065,91.57552,1
338,15012019 0200,22.559065,90.93935,1
339,15012019 0300,22.109066,93.00865,1
340,15012019 0400,22.259066,90.64199,1
341,15012019 0500,21.859066,92.711365,1
342,15012019 0600,22.039066,95.847496,1
343,15012019 0700,22.439066,93.53807,0
344,15012019 0800,22.269066,91.20278,0
345,15012019 0900,24.979065,80.54916,1
346,15012019 1000,25.189066,82.77005,1
347,15012019 1100,24.769066,82.67296,1
348,15012019 1200,26.189066,78.04257,1
349,15012019 1300,25.949066,78.679,1
350,15012019 1400,25.769066,77.889046,1
351,15012019 1500,25.689066,79.85405,0
352,15012019 1600,25.789066,77.18001,1
353,15012019 1700,24.519066,85.7338,1
354,15012019 1800,24.079065,87.4398,1
355,15012019 1900,24.259066,86.816414,1
356,15012019 2000,24.469067,87.25842,1
357,15012019 2100,23.969067,87.96664,1
358,15012019 2200,22.979065,91.63483,0
359,15012019 2300,23.279066,88.99803,0
360,16012019 0000,22.719067,91.00456,0
361,16012019 0100,22.659065,91.67397,1
362,16012019 0200,22.769066,92.01761,1
363,16012019 0300,22.499065,93.712585,1
364,16012019 0400,22.349066,94.57242,1
365,16012019 0500,22.809065,89.67838,1
366,16012019 0600,22.489065,91.15923,1
367,16012019 0700,22.659065,90.55492,1
368,16012019 0800,22.399065,96.09051,1
369,16012019 0900,23.859066,90.84808,1
370,16012019 1000,24.029066,89.64975,1
371,16012019 1100,23.899065,92.97254,1
372,16012019 1200,24.929066,86.39928,1
373,16012019 1300,25.169065,87.26233,1
374,16012019 1400,25.599066,86.92863,1
375,16012019 1500,24.839066,89.05316,1
376,16012019 1600,24.289066,89.666824,1
377,16012019 1700,23.609066,91.16656,1
378,16012019 1800,23.729065,90.84059,1
379,16012019 1900,23.729065,92.34585,1
380,16012019 2000,23.679066,94.09923,1
381,16012019 2100,23.309065,93.00397,1
382,16012019 2200,22.689066,92.863304,1
383,16012019 2300,22.679066,91.618774,1
384,17012019 0000,21.709066,92.30453,1
385,17012019 0100,21.729065,91.85054,1
386,17012019 0200,21.659065,90.77352,1
387,17012019 0300,21.739065,90.666115,1
388,17012019 0400,21.619066,91.674416,1
389,17012019 0500,21.659065,92.759254,1
390,17012019 0600,21.829065,92.36749,1
391,17012019 0700,21.879066,90.730774,1
392,17012019 0800,21.489065,91.78091,1
393,17012019 0900,22.029066,91.75319,1
394,17012019 1000,21.579065,93.734215,1
395,17012019 1100,21.799067,92.42302,1
396,17012019 1200,22.249065,92.501724,1
397,17012019 1300,21.769066,92.53569,1
398,17012019 1400,21.799067,91.571014,1
399,17012019 1500,21.459066,91.26904,1
400,17012019 1600,21.849066,90.39291,1
401,17012019 1700,21.129066,90.96688,1
402,17012019 1800,21.449066,88.47854,1
403,17012019 1900,21.599066,91.673355,1
404,17012019 2000,21.379066,91.43434,1
405,17012019 2100,21.449066,91.438286,1
406,17012019 2200,21.239065,91.03002,1
407,17012019 2300,20.909065,92.20682,1
408,18012019 0000,21.039066,90.96145,1
409,18012019 0100,21.069065,91.13308,1
410,18012019 0200,20.759066,89.873085,1
411,18012019 0300,21.149065,90.12365,1
412,18012019 0400,21.149065,90.460594,1
413,18012019 0500,21.529066,90.48468,1
414,18012019 0600,21.969067,89.95455,1
415,18012019 0700,21.449066,89.30758,1
416,18012019 0800,21.269066,90.46824,1
417,18012019 0900,23.029066,82.98868,1
418,18012019 1000,22.829065,83.689835,1
419,18012019 1100,22.849066,86.90899,1
420,18012019 1200,24.419065,79.15135,1
421,18012019 1300,24.429066,81.77716,1
422,18012019 1400,23.939066,84.01418,0
423,18012019 1500,24.509066,82.28994,1
424,18012019 1600,24.369066,81.26899,1
425,18012019 1700,23.079065,86.44818,1
426,18012019 1800,22.939066,85.79792,1
427,18012019 1900,22.859066,87.07079,0
428,18012019 2000,22.979065,86.59931,0
429,18012019 2100,23.069065,89.640785,0
430,18012019 2200,22.739065,89.34334,1
431,18012019 2300,21.859066,89.724815,1
432,19012019 0000,21.349066,94.71447,1
433,19012019 0100,20.869066,95.58234,0
434,19012019 0200,21.579065,94.25599,0
435,19012019 0300,21.189066,95.06101,0
436,19012019 0400,21.569065,93.84956,0
437,19012019 0500,21.659065,95.77963,0
438,19012019 0600,21.649065,94.957794,0
439,19012019 0700,21.739065,94.31978,0
440,19012019 0800,21.669065,95.19247,0
441,19012019 0900,23.769066,83.48114,0
442,19012019 1000,23.799067,86.51172,1
443,19012019 1100,23.749065,89.959984,0
444,19012019 1200,25.499065,83.71515,1
445,19012019 1300,25.919065,80.81264,0
446,19012019 1400,25.649065,82.41886,1
447,19012019 1500,25.919065,80.960205,1
448,19012019 1600,25.719067,80.54251,1
449,19012019 1700,23.549067,90.11214,1
